Joshua Kimmich;45;P;82672815381;kimmich@mail.365.id
Mario Mandzukic;32;L;89962451762;mario.rb.gmail.com
Jurgen    Klopp;56;P;92732812231;hlopp.liv.mail.ugm.ac.id
Mario Maslaccc;87;P;83274812743;mario.rb.gmail.com
Erling    Haaland;43;P;92378128732;haaladn.bvb.itb.ac.id
Manuel Neuerr;12;P;92327322863;manuelneueer.ui.ac.id
Marcush Rashford;56;L;28397238617;marcush.MU.MCI.com
Frank Abignale;98;L;92732516421;frankabignale.fbi.co.id
Muhammad Salah;76;P;92971375216;mohammedsalah.343.id
Roberto Firmino;54;L;92186321531;robertofirminho@365.ac
Zlatan Ibrahimovic;23;L;28362342416;zlatanthegod.co.id
